filename,audio_path,speaker,word,label
OAF_back_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_back_angry.wav,OAF,back,angry
OAF_back_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_back_happy.wav,OAF,back,happy
OAF_back_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_back_neutral.wav,OAF,back,neutral
OAF_back_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_back_sad.wav,OAF,back,sad
OAF_bar_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bar_angry.wav,OAF,bar,angry
OAF_bar_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bar_happy.wav,OAF,bar,happy
OAF_bar_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bar_neutral.wav,OAF,bar,neutral
OAF_bar_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bar_sad.wav,OAF,bar,sad
OAF_base_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_base_angry.wav,OAF,base,angry
OAF_base_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_base_happy.wav,OAF,base,happy
OAF_base_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_base_neutral.wav,OAF,base,neutral
OAF_base_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_base_sad.wav,OAF,base,sad
OAF_bath_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bath_angry.wav,OAF,bath,angry
OAF_bath_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bath_happy.wav,OAF,bath,happy
OAF_bath_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bath_neutral.wav,OAF,bath,neutral
OAF_bath_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bath_sad.wav,OAF,bath,sad
OAF_bean_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bean_angry.wav,OAF,bean,angry
OAF_bean_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bean_happy.wav,OAF,bean,happy
OAF_bean_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bean_neutral.wav,OAF,bean,neutral
OAF_bean_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bean_sad.wav,OAF,bean,sad
OAF_beg_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_beg_angry.wav,OAF,beg,angry
OAF_beg_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_beg_happy.wav,OAF,beg,happy
OAF_beg_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_beg_neutral.wav,OAF,beg,neutral
OAF_beg_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_beg_sad.wav,OAF,beg,sad
OAF_bite_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bite_angry.wav,OAF,bite,angry
OAF_bite_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bite_happy.wav,OAF,bite,happy
OA_bite_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OA_bite_neutral.wav,OAF,bite,neutral
OAF_bite_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bite_sad.wav,OAF,bite,sad
OAF_boat_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_boat_angry.wav,OAF,boat,angry
OAF_boat_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_boat_happy.wav,OAF,boat,happy
OAF_boat_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_boat_neutral.wav,OAF,boat,neutral
OAF_boat_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_boat_sad.wav,OAF,boat,sad
OAF_bone_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bone_angry.wav,OAF,bone,angry
OAF_bone_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bone_happy.wav,OAF,bone,happy
OAF_bone_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bone_neutral.wav,OAF,bone,neutral
OAF_bone_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bone_sad.wav,OAF,bone,sad
OAF_book_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_book_angry.wav,OAF,book,angry
OAF_book_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_book_happy.wav,OAF,book,happy
OAF_book_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_book_neutral.wav,OAF,book,neutral
OAF_book_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_book_sad.wav,OAF,book,sad
OAF_bought_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bought_angry.wav,OAF,bought,angry
OAF_bought_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bought_happy.wav,OAF,bought,happy
OAF_bought_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bought_neutral.wav,OAF,bought,neutral
OAF_bought_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_bought_sad.wav,OAF,bought,sad
OAF_burn_angry.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_burn_angry.wav,OAF,burn,angry
OAF_burn_happy.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_burn_happy.wav,OAF,burn,happy
OAF_burn_neutral.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_burn_neutral.wav,OAF,burn,neutral
OAF_burn_sad.wav,/root/autodl-tmp/kfair/data/tess/audio/OAF_burn_sad.wav,OAF,burn,sad
